Options: Namespace(adapt_features=True, batch_normalisation='basic', batch_size=4, checkpoint_dir='checkpoint/runorbit_v2', classifier='versa', clip_length=8, context_shot=5, context_video_type='clean', data_path='../dataset/orbit_benchmark_224', epochs=10, feature_adaptation_method='generate', feature_extractor='efficientnetb0', frame_size=224, gpu=0, learn_extractor=False, learning_rate=0.0001, mode='train_test', model_path=None, no_preload_clips=False, num_lite_samples=4, preload_clips=True, pretrained_extractor_path='features/pretrained/efficientnetb0_imagenet_224.pth', print_by_step=True, subsample_factor=1, target_shot=2, target_video_type='clutter', tasks_per_batch=16, test_context_num_clips=8, test_context_shot_method='max', test_set='test', test_target_num_clips='max', test_target_shot_method='max', test_tasks_per_user=5, test_way_method='max', train_context_num_clips=4, train_context_shot_method='random', train_object_cap=15, train_target_num_clips=4, train_target_shot_method='random', train_task_type='user_centric', train_tasks_per_user=50, train_way_method='random', use_two_gpus=False, validation_on_epoch=5, with_lite=True, with_train_shot_caps=False)

Checkpoint Directory: checkpoint/runorbit_v2/2021-11-02-22-07-56

epoch [1/10][201/2200], train loss: 6.3389578, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][202/2200], train loss: 28.5473690, frame_acc: 75.00, time/task: 0m09s
epoch [1/10][203/2200], train loss: 5.1342182, frame_acc: 50.00, time/task: 0m01s
epoch [1/10][204/2200], train loss: 39.8022537, frame_acc: 25.00, time/task: 0m06s
epoch [1/10][205/2200], train loss: 0.4797809, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][206/2200], train loss: 24.9564953, frame_acc: 100.00, time/task: 0m04s
epoch [1/10][207/2200], train loss: 15.3136501, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][208/2200], train loss: 20.5011730, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][209/2200], train loss: 0.0001297, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][210/2200], train loss: 13.7575178, frame_acc: 50.00, time/task: 0m07s
epoch [1/10][211/2200], train loss: 44.0090981, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][212/2200], train loss: 0.0016705, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][213/2200], train loss: 0.0001096, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][214/2200], train loss: 8.9759960, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][215/2200], train loss: 0.0705635, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][216/2200], train loss: 1175.6184082, frame_acc: 50.00, time/task: 0m14s
epoch [1/10][217/2200], train loss: 42.2166405, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][218/2200], train loss: 5.8186197, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][219/2200], train loss: 3.4866252, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][220/2200], train loss: 9.1684246, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][221/2200], train loss: 7.3959064, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][222/2200], train loss: 0.0015867, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][223/2200], train loss: 0.0000900, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][224/2200], train loss: 0.0152512, frame_acc: 100.00, time/task: 0m00s
epoch [1/10][225/2200], train loss: 26.8959446, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][226/2200], train loss: 0.0001241, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][227/2200], train loss: 88.5967560, frame_acc: 75.00, time/task: 0m09s
epoch [1/10][228/2200], train loss: 22.7024155, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][229/2200], train loss: 1.1445954, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][230/2200], train loss: 14.0296202, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][231/2200], train loss: 20.1417274, frame_acc: 50.00, time/task: 0m01s
epoch [1/10][232/2200], train loss: 28.3913422, frame_acc: 0.00, time/task: 0m05s
epoch [1/10][233/2200], train loss: 9.0244656, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][234/2200], train loss: 41.1109085, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][235/2200], train loss: 26.0748062, frame_acc: 50.00, time/task: 0m04s
epoch [1/10][236/2200], train loss: 5.6381555, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][237/2200], train loss: 0.0000621, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][238/2200], train loss: 30.0951481, frame_acc: 25.00, time/task: 0m05s
epoch [1/10][239/2200], train loss: 0.0030289, frame_acc: 100.00, time/task: 0m00s
epoch [1/10][240/2200], train loss: 0.0056070, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][241/2200], train loss: 19.9809780, frame_acc: 25.00, time/task: 0m05s
epoch [1/10][242/2200], train loss: 0.0013677, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][243/2200], train loss: 2.0148640, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][244/2200], train loss: 14.1988430, frame_acc: 25.00, time/task: 0m03s
epoch [1/10][245/2200], train loss: 48.3839035, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][246/2200], train loss: 0.2694605, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][247/2200], train loss: 2.2000773, frame_acc: 25.00, time/task: 0m01s
epoch [1/10][248/2200], train loss: 0.0001150, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][249/2200], train loss: 28.9660149, frame_acc: 25.00, time/task: 0m05s
epoch [1/10][250/2200], train loss: 7.6594462, frame_acc: 50.00, time/task: 0m04s
epoch [1/10][251/2200], train loss: 17.9912205, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][252/2200], train loss: 0.0788157, frame_acc: 100.00, time/task: 0m05s
